epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,14684.9,2.06576,1.94318,0.01591,0.64914,0.64536,0.67758,0.4693,2.16685,2.11209,0.0255,0.000268938,0.000268938,0.000268938
84,14856.3,2.04902,1.90142,0.0159,0.61986,0.67252,0.67728,0.47167,2.15443,2.10859,0.02526,0.000254791,0.000254791,0.000254791
85,15027.8,2.05042,1.89593,0.01563,0.64129,0.64951,0.67809,0.47276,2.15415,2.0666,0.02528,0.000240644,0.000240644,0.000240644
86,15208.5,2.03346,1.89138,0.01563,0.64375,0.64422,0.67886,0.47394,2.14768,2.1062,0.02524,0.000226497,0.000226497,0.000226497
87,15389,2.04351,1.87732,0.01554,0.62044,0.66799,0.67142,0.46677,2.15943,2.12316,0.0255,0.000212349,0.000212349,0.000212349
88,15558.6,2.03494,1.87165,0.0155,0.66402,0.64607,0.68243,0.47316,2.15839,2.10406,0.02551,0.000198202,0.000198202,0.000198202
89,15731.9,2.00777,1.83681,0.01529,0.61015,0.68518,0.68054,0.473,2.14902,2.10867,0.02529,0.000184055,0.000184055,0.000184055
90,15906,2.00089,1.86311,0.01541,0.62281,0.67855,0.67919,0.47155,2.15733,2.112,0.0253,0.000169908,0.000169908,0.000169908
91,16077.3,1.81088,1.47443,0.01624,0.6396,0.65593,0.67826,0.46972,2.16995,2.10357,0.02559,0.000155761,0.000155761,0.000155761
92,16252.1,1.74647,1.40893,0.01559,0.63209,0.65871,0.6775,0.4706,2.16466,2.13616,0.02551,0.000141614,0.000141614,0.000141614
93,16424.8,1.76623,1.39552,0.01573,0.64033,0.65554,0.6765,0.47001,2.15643,2.12442,0.02537,0.000127467,0.000127467,0.000127467
94,16596,1.73371,1.37959,0.01557,0.6524,0.63206,0.67366,0.46902,2.15128,2.14195,0.02525,0.00011332,0.00011332,0.00011332
95,16767.2,1.71919,1.34723,0.01522,0.629,0.66396,0.67832,0.47292,2.14754,2.12302,0.02518,9.91726e-05,9.91726e-05,9.91726e-05
96,16936.8,1.70986,1.35771,0.01517,0.62193,0.67622,0.68026,0.47459,2.1507,2.11726,0.02517,8.50255e-05,8.50255e-05,8.50255e-05
97,17107,1.69009,1.32056,0.01499,0.64174,0.66494,0.68177,0.47564,2.15919,2.11752,0.02541,7.08784e-05,7.08784e-05,7.08784e-05
98,17280.3,1.70548,1.32046,0.01508,0.63982,0.67285,0.68279,0.47597,2.15608,2.11545,0.02539,5.67313e-05,5.67313e-05,5.67313e-05
99,17459.9,1.69495,1.31788,0.01487,0.64452,0.66836,0.68293,0.47649,2.14657,2.11071,0.02523,4.25842e-05,4.25842e-05,4.25842e-05
100,17629.5,1.68896,1.32692,0.01475,0.6435,0.66481,0.68308,0.47696,2.14354,2.11849,0.02514,2.84371e-05,2.84371e-05,2.84371e-05
