epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,3686.9,0.97284,1.01559,1.2923,0.63236,0.67451,0.68035,0.471,1.05089,1.07873,1.41834,0.000297232,0.000297232,0.000297232
82,3732.9,0.96882,1.0144,1.28868,0.64897,0.65408,0.67869,0.46859,1.06132,1.08501,1.42373,0.000283085,0.000283085,0.000283085
83,3775.64,0.97182,1.02782,1.2908,0.61892,0.67193,0.67905,0.46934,1.06183,1.08943,1.43219,0.000268938,0.000268938,0.000268938
84,3817.87,0.96377,1.00372,1.29194,0.61541,0.6702,0.68007,0.47312,1.04721,1.08035,1.41597,0.000254791,0.000254791,0.000254791
85,3863.11,0.95856,0.99982,1.27728,0.64365,0.65295,0.68022,0.474,1.05256,1.0681,1.4228,0.000240644,0.000240644,0.000240644
86,3909.44,0.95335,0.99226,1.28045,0.6339,0.65826,0.68187,0.47469,1.04725,1.06722,1.41596,0.000226497,0.000226497,0.000226497
87,3953.7,0.96211,0.99227,1.28213,0.63938,0.65956,0.68046,0.47187,1.06192,1.08075,1.42318,0.000212349,0.000212349,0.000212349
88,3995.08,0.95645,0.98212,1.27698,0.66186,0.64387,0.68636,0.47693,1.05543,1.07162,1.41948,0.000198202,0.000198202,0.000198202
89,4041.97,0.9431,0.9679,1.26913,0.65348,0.64312,0.68154,0.47271,1.04957,1.07923,1.41616,0.000184055,0.000184055,0.000184055
90,4083.96,0.94619,0.98769,1.27421,0.62811,0.66519,0.68298,0.47357,1.04926,1.07565,1.41334,0.000169908,0.000169908,0.000169908
91,4127.38,0.87019,0.8487,1.21637,0.65615,0.64161,0.68171,0.47175,1.07042,1.08339,1.43189,0.000155761,0.000155761,0.000155761
92,4168.56,0.84315,0.81519,1.20321,0.64772,0.65472,0.67967,0.47148,1.07019,1.08853,1.43037,0.000141614,0.000141614,0.000141614
93,4210.15,0.84762,0.7984,1.20539,0.65573,0.64587,0.67698,0.46912,1.06253,1.07814,1.424,0.000127467,0.000127467,0.000127467
94,4251.43,0.83591,0.79457,1.19645,0.64074,0.66327,0.68437,0.47608,1.0612,1.07302,1.42589,0.00011332,0.00011332,0.00011332
95,4293.29,0.83205,0.78539,1.19517,0.6342,0.66995,0.68204,0.47401,1.06242,1.07203,1.42877,9.91726e-05,9.91726e-05,9.91726e-05
96,4333.95,0.83361,0.78628,1.1926,0.6414,0.66167,0.68412,0.47594,1.0625,1.06841,1.42758,8.50255e-05,8.50255e-05,8.50255e-05
97,4375.21,0.82238,0.76786,1.19123,0.64511,0.64747,0.68038,0.47383,1.06101,1.08296,1.42347,7.08784e-05,7.08784e-05,7.08784e-05
98,4416.77,0.82416,0.76824,1.18413,0.63921,0.65491,0.67869,0.47273,1.06345,1.0798,1.43095,5.67313e-05,5.67313e-05,5.67313e-05
99,4457.03,0.82395,0.7661,1.1886,0.63371,0.66075,0.68047,0.47437,1.06195,1.08244,1.42809,4.25842e-05,4.25842e-05,4.25842e-05
100,4498.22,0.81544,0.75931,1.18195,0.64088,0.65693,0.68047,0.47432,1.06064,1.08032,1.42807,2.84371e-05,2.84371e-05,2.84371e-05
